,Diff
F0_R1,0.2417
F0_R2,0.294
F0_R3,0.2199
F0_R4,0.2914
F5_R1,0.2548
F5_R2,0.2018
F5_R3,0.2284
F5_R4,0.2272
F10_R1,0.1542
F10_R2,0.2193
F10_R3,0.2249
F10_R4,0.1797
F25_R1,0.1677
F25_R2,0.1611
F25_R3,0.1683
F25_R4,0.1646
F50_R1,0.08741
F50_R2,0.0838
F50_R3,0.06312
F50_R4,0.101
F80_R1,0.05203
F80_R2,0.05629
F80_R3,0.03977
F80_R4,0.06024
F100_R1,0.03588
F100_R2,0.05561
F100_R3,0.03421
F100_R4,0.03009
