,P3-F3,P3-ABCG1,P3,P2,P1
pp,0.31,0.13,0.38,0.3,0.26
pp,0.29,0.13,0.33,0.31,0.25
pp,0.28,0.12,0.37,0.31,0.27
pp,0.27,0.11,0.36,0.3,0.27
pp,0.31,,,,
p+,0.17,0.12,0.11,0.34,0.31
p+,0.16,0.09,0.14,0.32,0.32
p+,0.18,0.07,0.14,0.33,0.35
p+,0.15,0.06,0.13,0.28,0.32
p+,0.13,,,,
p-,0.45,0.15,0.47,0.33,0.24
p-,0.45,0.16,0.45,0.31,0.22
p-,0.44,0.21,0.51,0.3,0.25
p-,0.44,0.18,0.50,0.3,0.24
p-,0.41,,,,
