Sample,SCA1_F3_ABCG1
Lean-iW-1,2.64
Lean-iW-2,1.66
Lean-iW-3,1.55
Lean-iW-4,3.01
lean-vis-1,10
lean-vis-2,10.4
lean-vis-3,7.08
lean-vis-4,6.2
obob-iW-1,9.4
obob-iW-2,7.6
obob-iW-3,4.19
obob-iW-4,5.38
obob-vis-1,15.7
obob-vis-2,15.1
obob-vis-3,11.1
obob-vis-4,12.7
