,Diff
F0_R1,2892
F0_R2,3177
F0_R3,3097
F0_R4,2684
F5_R1,3010
F5_R2,2998
F5_R3,2863
F5_R4,2865
F10_R1,3022
F10_R2,2919
F10_R3,2739
F10_R4,2882
F25_R1,2992
F25_R2,3079
F25_R3,3132
F25_R4,2716
F50_R1,3146
F50_R2,3234
F50_R3,2836
F50_R4,3010
F80_R1,3056
F80_R2,3109
F80_R3,3193
F80_R4,2955
F100_R1,2871
F100_R2,3039
F100_R3,2806
F100_R4,2891
