,SVF,LinSVF
C1,0.070238823,0.030083721
C2,0.011293589,0.048930141
C3,0.13933933,0.079200134
C4,0.02829929,0.100223814
C5,0.01171875,0.064183485
C6,,0.002688007
C7,,0.196705892
A1,0.541781382,0.660826517
A2,0.192773298,0.32126834
A3,0.727068702,0.135485483
A4,0.180737897,0.299874606
A5,0.304904051,0.9164276
A6,,0.412682292
A7,,0.526068061
