Experiment,Sample_ID,Name,Sample,Date,Cocktail,Nuclei,Differentiation
Exp3,S30,Dner,Dner-KD-6,230617b,Half,16969,0.06491
Exp3,S31,Ndufal2,Ndufal2-KD-1,230617b,Half,16314,0.07682
Exp3,S31,Ndufal2,Ndufal2-KD-2,230617b,Half,15398,0.06455
Exp3,S31,Ndufal2,Ndufal2-KD-3,230617b,Half,14627,0.0657
Exp3,S32,Ndufal2,Ndufal2-KD-4,230617b,Half,15366,0.07816
Exp3,S32,Ndufal2,Ndufal2-KD-5,230617b,Half,13957,0.08798
Exp3,S32,Ndufal2,Ndufal2-KD-6,230617b,Half,13287,0.09272
Exp3,S33,Ptch2,Ptch2-KD-1,230617b,Half,12914,0.1042
Exp3,S33,Ptch2,Ptch2-KD-2,230617b,Half,14856,0.07283
Exp3,S33,Ptch2,Ptch2-KD-3,230617b,Half,15609,0.06778
Exp3,S34,Ptch2,Ptch2-KD-4,230617b,Half,15311,0.08915
Exp3,S34,Ptch2,Ptch2-KD-5,230617b,Half,16183,0.08713
Exp3,S34,Ptch2,Ptch2-KD-6,230617b,Half,15381,0.08671
Exp4,S35,Control,C-1,10817,Half,6593,0.1213
Exp4,S35,Control,C-2,10817,Half,6449,0.1338
Exp4,S35,Control,C-3,10817,Half,7125,0.137
Exp4,S35,Control,C-4,10817,Half,6922,0.1049
Exp4,S36,Control,C-5,10817,Half,7806,0.1047
Exp4,S36,Control,C-6,10817,Half,7906,0.108
Exp4,S36,Control,C-7,10817,Half,7941,0.104
Exp4,S36,Control,C-8,10817,Half,7104,0.1198
Exp4,S37,Ll20rb,Il20rb-KD-1,10817,Half,7350,0.1612
Exp4,S37,Ll20rb,Il20rb-KD-2,10817,Half,6624,0.1342
Exp4,S37,Ll20rb,Il20rb-KD-3,10817,Half,7119,0.1499
Exp4,S37,Ll20rb,Il20rb-KD-4,10817,Half,7110,0.138
Exp4,S38,Ll20rb,Il20rb-KD-5,10817,Half,8501,0.1169
Exp4,S38,Ll20rb,Il20rb-KD-6,10817,Half,8314,0.1348
Exp4,S38,Ll20rb,Il20rb-KD-7,10817,Half,8595,0.1236
Exp4,S38,Ll20rb,Il20rb-KD-8,10817,Half,8335,0.1115
Exp4,S39,Slc6a2,slc6a2-KD-1,10817,Half,7473,0.1487
Exp4,S39,Slc6a2,slc6a2-KD-2,10817,Half,7212,0.1498
Exp4,S39,Slc6a2,slc6a2-KD-3,10817,Half,6682,0.1621
Exp4,S39,Slc6a2,slc6a2-KD-4,10817,Half,7007,0.1634
Exp4,S40,Slc6a2,slc6a2-KD-5,10817,Half,8487,0.1507
Exp4,S40,Slc6a2,slc6a2-KD-6,10817,Half,8083,0.123
Exp4,S40,Slc6a2,slc6a2-KD-7,10817,Half,7783,0.1349
Exp4,S40,Slc6a2,slc6a2-KD-8,10817,Half,6906,0.1507
Exp4,S41,Hopx,HOPX-KD-1,10817,Half,6895,0.1282
Exp4,S41,Hopx,HOPX-KD-2,10817,Half,7193,0.1091
Exp4,S41,Hopx,HOPX-KD-3,10817,Half,7688,0.1177
Exp4,S41,Hopx,HOPX-KD-4,10817,Half,8135,0.1194
Exp4,S42,Hopx,HOPX-KD-5,10817,Half,8337,0.1038
Exp4,S42,Hopx,HOPX-KD-6,10817,Half,8207,0.1065
Exp4,S42,Hopx,HOPX-KD-7,10817,Half,8200,0.106
Exp4,S42,Hopx,HOPX-KD-8,10817,Half,7072,0.128
Exp4,S43,Cpmx2,CPMX2-KD-1,10817,Half,7219,0.09835
Exp4,S43,Cpmx2,CPMX2-KD-2,10817,Half,7375,0.09383
Exp4,S43,Cpmx2,CPMX2-KD-3,10817,Half,6822,0.1162
Exp4,S43,Cpmx2,CPMX2-KD-4,10817,Half,7052,0.1197
Exp4,S44,Cpmx2,CPMX2-KD-5,10817,Half,8580,0.1024
Exp4,S44,Cpmx2,CPMX2-KD-6,10817,Half,8505,0.1044
Exp4,S44,Cpmx2,CPMX2-KD-7,10817,Half,7986,0.1242
Exp4,S44,Cpmx2,CPMX2-KD-8,10817,Half,7665,0.1006
Exp4,S45,Dapk2,dapk2-kd-1,10817,Half,7385,0.1146
Exp4,S45,Dapk2,dapk2-kd-2,10817,Half,7880,0.08668
Exp4,S45,Dapk2,dapk2-kd-3,10817,Half,7338,0.1158
Exp4,S45,Dapk2,dapk2-kd-4,10817,Half,7542,0.09639
Exp4,S46,Dapk2,dapk2-kd-5,10817,Half,9013,0.08665
Exp4,S46,Dapk2,dapk2-kd-6,10817,Half,8491,0.1092
Exp4,S46,Dapk2,dapk2-kd-7,10817,Half,8374,0.1232
Exp4,S46,Dapk2,dapk2-kd-8,10817,Half,8030,0.1278
Exp4,S47,Ptch2,ptch2-kd-1,10817,Half,5948,0.0923
Exp4,S47,Ptch2,ptch2-kd-2,10817,Half,6934,0.102
Exp4,S47,Ptch2,ptch2-kd-3,10817,Half,7200,0.1022
Exp4,S47,Ptch2,ptch2-kd-4,10817,Half,7774,0.09197
Exp4,S48,Ptch2,ptch2-kd-5,10817,Half,7436,0.1029
Exp4,S48,Ptch2,ptch2-kd-6,10817,Half,7624,0.1013
Exp4,S48,Ptch2,ptch2-kd-7,10817,Half,7384,0.1111
Exp4,S48,Ptch2,ptch2-kd-8,10817,Half,7524,0.0941
Exp5,S49,Control,C-1,91817,Half,6555,0.1028
Exp5,S49,Control,C-2,91817,Half,6189,0.1331
Exp5,S49,Control,C-3,91817,Half,6343,0.1122
Exp5,S49,Control,C-4,91817,Half,6304,0.09327
Exp5,S50,Control,C-5,91817,Half,7172,0.1436
Exp5,S50,Control,C-6,91817,Half,6496,0.1133
Exp5,S50,Control,C-7,91817,Half,7315,0.1058
Exp5,S51,Spink2,spink2-KD-1,91817,Half,6461,0.1326
Exp5,S51,Spink2,spink2-KD-2,91817,Half,5736,0.1283
Exp5,S51,Spink2,spink2-KD-3,91817,Half,6035,0.1326
Exp5,S51,Spink2,spink2-KD-4,91817,Half,5622,0.1375
Exp5,S52,Spink2,spink2-KD-5,91817,Half,8187,0.1971
Exp5,S52,Spink2,spink2-KD-6,91817,Half,6764,0.1719
Exp5,S52,Spink2,spink2-KD-7,91817,Half,6921,0.1464
Exp5,S53,Fgf12,FGF12-KD-1,91817,Half,6392,0.1622
Exp5,S53,Fgf12,FGF12-KD-2,91817,Half,7495,0.1586
Exp5,S53,Fgf12,FGF12-KD-3,91817,Half,6876,0.178
Exp5,S53,Fgf12,FGF12-KD-4,91817,Half,6812,0.1478
Exp5,S54,Fgf12,FGF12-KD-5,91817,Half,9006,0.1749
Exp5,S54,Fgf12,FGF12-KD-6,91817,Half,8298,0.1953
Exp5,S54,Fgf12,FGF12-KD-7,91817,Half,8379,0.1852
