,P3-F3,P3,P2,P1
pp,7322,4627,5595,5595
pp,7208,4480,5476,5476
pp,7256,4571,5449,5449
pp,7263,4482,5745,5745
pp,7730,,,
p+,7142,4192,5774,5228
p+,7314,4168,5492,5311
p+,7202,4627,5311,5665
p+,7628,4898,5665,5435
p+,7304,,,
p-,7335,4415,5482,5383
p-,7330,4448,5424,5424
p-,7381,4304,5475,5475
p-,7707,4493,5556,5527
p-,7469,,,
