Sample,SCA1_F3_ABCG1
Lean-iW-1,0.4789
Lean-iW-2,0.4092
Lean-iW-3,0.364
Lean-iW-4,0.3625
lean-vis-1,0.577
lean-vis-2,0.559
lean-vis-3,0.4
lean-vis-4,0.391
obob-iW-1,2.5
obob-iW-2,2.5
obob-iW-3,2.8
obob-iW-4,2.04
obob-iW-5,2.07
obob-vis-1,2.25
obob-vis-2,2.25
obob-vis-3,2.08
obob-vis-4,1.62
obob-vis-5,2.11
