Sample Name,2ddct
Dner-KD-5-1,0.29
Dner-KD-5-2,0.39
Dner-KD-6-1,0.4
Dner-KD-6-2,0.4
C-1,1.101397194
C-1,1.182083717
C-2,1.077981779
C-2,0.881682957
C-3,0.815826499
C-3,1.117544933
C-4,0.925518337
C-4,0.79077123
C-5,1.160167969
C-5,1.058729271
C-6,0.912144042
C-6,1.080975938
ptch2-KD-1-1,0.328583643
ptch2-KD-1-2,0.335488043
ptch2-KD-2-1,0.324060046
ptch2-KD-2-2,0.331328142
ptch2-KD-3-1,0.295316176
ptch2-KD-3-2,0.30488429
ptch2-KD-4-1,0.345877465
ptch2-KD-4-2,0.243895191
ptch2-KD-5-1,0.303618836
ptch2-KD-5-2,0.246615095
ptch2-KD-6-1,0.311722514
ptch2-KD-6-2,0.336186457
C-1,0.920400443
C-1,0.921676572
C-2,0.913408421
C-2,1.034069283
C-3,1.014897712
C-3,1.031206412
C-4,1.112907549
C-4,1.160167585
C-5,0.958821123
C-5,1.034787268
C-6,0.911512056
C-6,1.021247963
hhip-KD-1-1,0.014007405
hhip-KD-1-2,0.080567045
hhip-KD-2-1,0.013785857
hhip-KD-2-2,0.029818131
hhip-KD-3-1,0.023249322
hhip-KD-3-2,0.026595589
C-1,1.278394056
C-1,0.893372849
C-2,1.125317879
C-2,1.039098788
C-3,0.958157114
C-3,0.781508528
Hopx-KD-1-1,0.22478623
Hopx-KD-1-2,0.226820989
Hopx-KD-2-1,0.307493152
Hopx-KD-2-2,0.333238133
Hopx-KD-3-1,0.246493931
Hopx-KD-3-2,0.322333283
Hopx-KD-4-1,0.298463209
Hopx-KD-4-2,0.263271864
C-1,0.998355538
C-1,0.918037696
C-2,0.985292911
C-2,0.67859673
C-3,0.929563256
C-3,1.022162152
C-4,1.184785041
C-4,1.44956878
rtp3-KD-1-1,0.093145212
rtp3-KD-1-2,0.104358859
rtp3-KD-2-1,0.351750244
rtp3-KD-2-2,0.189415407
rtp3-KD-3-1,0.159831831
rtp3-KD-3-2,0.380409744
rtp3-KD-4-1,0.432755789
rtp3-KD-4-2,0.292321317
C-1,0.83835164
C-1,1.064831245
C-2,0.755564004
C-2,0.924422536
C-3,1.394380934
C-3,1.128670555
C-4,1.146809023
C-4,0.888610579
Il20rb-KD-1-1,0.291511674
